ts_utc,ticker,city,band,yes_bid,yes_ask,no_bid,no_ask,volume,kmia_obs,nyc_obs
2026-08-30T00:06Z,KXHIGHMIA-26AUG30-T87,MIA,T87,0.05,0.09,0.91,0.95,2445,81,74
2026-08-30T00:06Z,KXHIGHMIA-26AUG30-T94,MIA,T94,0.01,0.02,0.98,0.99,463,81,74
2026-08-30T00:06Z,KXHIGHNY-26AUG29-B79.5,NY,B79.5,0.00,0.01,0.99,1.00,26421,81,74
2026-08-30T00:06Z,KXHIGHNY-26AUG29-B81.5,NY,B81.5,0.00,0.01,0.99,1.00,18035,81,74
2026-08-30T00:06Z,KXHIGHNY-26AUG29-B83.5,NY,B83.5,0.00,0.01,0.99,1.00,4504,81,74
2026-08-30T00:06Z,KXHIGHNY-26AUG29-B85.5,NY,B85.5,0.00,0.01,0.99,1.00,4748,81,74
2026-08-30T00:06Z,KXHIGHNY-26AUG29-T79,NY,T79,0.99,1.00,0.00,0.01,35720,81,74
2026-08-30T00:06Z,KXHIGHNY-26AUG29-T86,NY,T86,0.00,0.01,0.99,1.00,2395,81,74
2026-08-30T00:06Z,KXHIGHNY-26AUG30-B82.5,NY,B82.5,0.27,0.28,0.72,0.73,959,81,74
2026-08-30T00:06Z,KXHIGHNY-26AUG30-B84.5,NY,B84.5,0.17,0.18,0.82,0.83,1280,81,74
2026-08-30T00:06Z,KXHIGHNY-26AUG30-B86.5,NY,B86.5,0.02,0.03,0.97,0.98,649,81,74
2026-08-30T00:06Z,KXHIGHNY-26AUG30-B88.5,NY,B88.5,0.00,0.01,0.99,1.00,1097,81,74
2026-08-30T00:06Z,KXHIGHNY-26AUG30-T82,NY,T82,0.57,0.58,0.42,0.43,2672,81,74
2026-08-30T00:06Z,KXHIGHNY-26AUG30-T89,NY,T89,0.00,0.01,0.99,1.00,1014,81,74
2026-08-30T00:37Z,KXHIGHCHI-26AUG29-B80.5,CHI,B80.5,0.00,0.01,0.99,1.00,89658,79,73
2026-08-30T00:37Z,KXHIGHCHI-26AUG29-B82.5,CHI,B82.5,0.99,1.00,0.00,0.01,20297,79,73
2026-08-30T00:37Z,KXHIGHCHI-26AUG29-B84.5,CHI,B84.5,0.00,0.01,0.99,1.00,9791,79,73
2026-08-30T00:37Z,KXHIGHCHI-26AUG29-B86.5,CHI,B86.5,0.00,0.01,0.99,1.00,4100,79,73
2026-08-30T00:37Z,KXHIGHCHI-26AUG29-T80,CHI,T80,0.00,0.01,0.99,1.00,12093,79,73
2026-08-30T00:37Z,KXHIGHCHI-26AUG29-T87,CHI,T87,0.00,0.01,0.99,1.00,1441,79,73
2026-08-30T00:37Z,KXHIGHCHI-26AUG30-B86.5,CHI,B86.5,0.29,0.30,0.70,0.71,312,79,73
2026-08-30T00:37Z,KXHIGHCHI-26AUG30-B88.5,CHI,B88.5,0.16,0.17,0.83,0.84,495,79,73
2026-08-30T00:37Z,KXHIGHCHI-26AUG30-B90.5,CHI,B90.5,0.02,0.04,0.96,0.98,959,79,73
2026-08-30T00:37Z,KXHIGHCHI-26AUG30-B92.5,CHI,B92.5,0.01,0.02,0.98,0.99,427,79,73
2026-08-30T00:37Z,KXHIGHCHI-26AUG30-T86,CHI,T86,0.53,0.54,0.46,0.47,1867,79,73
2026-08-30T00:37Z,KXHIGHCHI-26AUG30-T93,CHI,T93,0.00,0.01,0.99,1.00,1049,79,73
2026-08-30T00:37Z,KXHIGHDEN-26AUG29-B90.5,DEN,B90.5,0.00,0.01,0.99,1.00,9016,79,73
2026-08-30T00:37Z,KXHIGHDEN-26AUG29-B92.5,DEN,B92.5,0.99,1.00,0.00,0.01,8349,79,73
2026-08-30T00:37Z,KXHIGHDEN-26AUG29-B94.5,DEN,B94.5,0.00,0.01,0.99,1.00,5444,79,73
2026-08-30T00:37Z,KXHIGHDEN-26AUG29-B96.5,DEN,B96.5,0.00,0.01,0.99,1.00,937,79,73
2026-08-30T00:37Z,KXHIGHDEN-26AUG29-T90,DEN,T90,0.00,0.01,0.99,1.00,4044,79,73
2026-08-30T00:37Z,KXHIGHDEN-26AUG29-T97,DEN,T97,0.00,0.01,0.99,1.00,427,79,73
2026-08-30T00:37Z,KXHIGHDEN-26AUG30-B85.5,DEN,B85.5,0.16,0.22,0.78,0.84,66,79,73
2026-08-30T00:37Z,KXHIGHDEN-26AUG30-B87.5,DEN,B87.5,0.37,0.41,0.59,0.63,316,79,73
2026-08-30T00:37Z,KXHIGHDEN-26AUG30-B89.5,DEN,B89.5,0.20,0.23,0.77,0.80,163,79,73
2026-08-30T00:37Z,KXHIGHDEN-26AUG30-B91.5,DEN,B91.5,0.06,0.08,0.92,0.94,122,79,73
2026-08-30T00:37Z,KXHIGHDEN-26AUG30-T85,DEN,T85,0.07,0.08,0.92,0.93,54,79,73
2026-08-30T00:37Z,KXHIGHDEN-26AUG30-T92,DEN,T92,0.00,0.02,0.98,1.00,905,79,73
2026-08-30T00:37Z,KXHIGHMIA-26AUG29-B88.5,MIA,B88.5,0.00,0.01,0.99,1.00,22540,79,73
2026-08-30T00:37Z,KXHIGHMIA-26AUG29-B90.5,MIA,B90.5,0.00,0.02,0.98,1.00,23294,79,73
2026-08-30T00:37Z,KXHIGHMIA-26AUG29-B92.5,MIA,B92.5,0.00,0.01,0.99,1.00,15205,79,73
2026-08-30T00:37Z,KXHIGHMIA-26AUG29-B94.5,MIA,B94.5,0.00,0.01,0.99,1.00,6326,79,73
2026-08-30T00:37Z,KXHIGHMIA-26AUG29-T88,MIA,T88,0.98,1.00,0.00,0.02,34286,79,73
2026-08-30T00:37Z,KXHIGHMIA-26AUG29-T95,MIA,T95,0.00,0.01,0.99,1.00,1696,79,73
2026-08-30T00:37Z,KXHIGHMIA-26AUG30-B87.5,MIA,B87.5,0.08,0.09,0.91,0.92,372,79,73
2026-08-30T00:37Z,KXHIGHMIA-26AUG30-B89.5,MIA,B89.5,0.32,0.33,0.67,0.68,789,79,73
2026-08-30T00:37Z,KXHIGHMIA-26AUG30-B91.5,MIA,B91.5,0.44,0.45,0.55,0.56,608,79,73
2026-08-30T00:37Z,KXHIGHMIA-26AUG30-B93.5,MIA,B93.5,0.13,0.14,0.86,0.87,923,79,73
2026-08-30T00:37Z,KXHIGHMIA-26AUG30-T87,MIA,T87,0.05,0.09,0.91,0.95,2445,79,73
2026-08-30T00:37Z,KXHIGHMIA-26AUG30-T94,MIA,T94,0.01,0.02,0.98,0.99,463,79,73
2026-08-30T00:37Z,KXHIGHNY-26AUG29-B79.5,NY,B79.5,0.00,0.01,0.99,1.00,26521,79,73
2026-08-30T00:37Z,KXHIGHNY-26AUG29-B81.5,NY,B81.5,0.00,0.01,0.99,1.00,18035,79,73
2026-08-30T00:37Z,KXHIGHNY-26AUG29-B83.5,NY,B83.5,0.00,0.01,0.99,1.00,4504,79,73
2026-08-30T00:37Z,KXHIGHNY-26AUG29-B85.5,NY,B85.5,0.00,0.01,0.99,1.00,4748,79,73
2026-08-30T00:37Z,KXHIGHNY-26AUG29-T79,NY,T79,0.99,1.00,0.00,0.01,35792,79,73
2026-08-30T00:37Z,KXHIGHNY-26AUG29-T86,NY,T86,0.00,0.01,0.99,1.00,2395,79,73
2026-08-30T00:37Z,KXHIGHNY-26AUG30-B82.5,NY,B82.5,0.28,0.29,0.71,0.72,1207,79,73
2026-08-30T00:37Z,KXHIGHNY-26AUG30-B84.5,NY,B84.5,0.15,0.16,0.84,0.85,1293,79,73
2026-08-30T00:37Z,KXHIGHNY-26AUG30-B86.5,NY,B86.5,0.02,0.03,0.97,0.98,650,79,73
2026-08-30T00:37Z,KXHIGHNY-26AUG30-B88.5,NY,B88.5,0.00,0.01,0.99,1.00,1097,79,73
2026-08-30T00:37Z,KXHIGHNY-26AUG30-T82,NY,T82,0.58,0.59,0.41,0.42,2785,79,73
2026-08-30T00:37Z,KXHIGHNY-26AUG30-T89,NY,T89,0.00,0.01,0.99,1.00,1014,79,73
2026-08-30T00:46Z,KXHIGHCHI-26AUG29-B80.5,CHI,B80.5,0.00,0.01,0.99,1.00,89658,79,73
2026-08-30T00:46Z,KXHIGHCHI-26AUG29-B82.5,CHI,B82.5,0.99,1.00,0.00,0.01,20297,79,73
2026-08-30T00:46Z,KXHIGHCHI-26AUG29-B84.5,CHI,B84.5,0.00,0.01,0.99,1.00,9791,79,73
2026-08-30T00:46Z,KXHIGHCHI-26AUG29-B86.5,CHI,B86.5,0.00,0.01,0.99,1.00,4100,79,73
2026-08-30T00:46Z,KXHIGHCHI-26AUG29-T80,CHI,T80,0.00,0.01,0.99,1.00,12093,79,73
2026-08-30T00:46Z,KXHIGHCHI-26AUG29-T87,CHI,T87,0.00,0.01,0.99,1.00,1441,79,73
2026-08-30T00:46Z,KXHIGHCHI-26AUG30-B86.5,CHI,B86.5,0.27,0.29,0.71,0.73,315,79,73
2026-08-30T00:46Z,KXHIGHCHI-26AUG30-B88.5,CHI,B88.5,0.16,0.17,0.83,0.84,495,79,73
2026-08-30T00:46Z,KXHIGHCHI-26AUG30-B90.5,CHI,B90.5,0.02,0.04,0.96,0.98,959,79,73
2026-08-30T00:46Z,KXHIGHCHI-26AUG30-B92.5,CHI,B92.5,0.01,0.02,0.98,0.99,427,79,73
2026-08-30T00:46Z,KXHIGHCHI-26AUG30-T86,CHI,T86,0.54,0.55,0.45,0.46,1868,79,73
